Episodio,Alpha,Gamma,Epsilon,Recompensa Total,Pasos Totales,Pasos Promedio,Tasa de Ã‰xito (%)
15,0.7,0.5,0.4,4938,6825,455.0,100.0
15,0.9,0.9,0.2,8005,4730,315.33,100.0
15,0.3,0.4,0.2,-1469,12956,863.73,100.0
15,0.1,0.4,0.7,10062,2941,196.07,100.0
15,0.9,0.9,0.2,11618,2249,149.93,100.0
15,0.9,0.9,0.2,8211,3860,257.33,100.0
30,0.9,0.9,0.2,17357,7349,244.97,100.0
45,0.9,0.9,0.2,26614,10779,239.53,100.0
60,0.9,0.9,0.2,36291,13621,227.02,100.0
75,0.9,0.9,0.2,44054,17401,232.01,100.0
15,0.9,0.9,0.2,-18657,3590,239.33,100.0
